id,guid,paint_vacancie,name,employer_id,text,salary
1,7cc26e38-a180-11ef-9cd8-e4fd45859273,img_01.png,"Программист 3С",1,"Требуется опытный программист 1С для работы в крупной компании, поддержка существующих проектов и разработка новых решений.","100,000-150,000 руб."
2,7cc2710b-a180-11ef-9cd8-e4fd45859273,img_02.png,Бухгалтер,2,"Вакансия бухгалтера в строительной компании. Обязанности включают ведение учета, подготовку отчетности и налоговые расчеты.","80,000-120,000 руб."
3,7cc272fb-a180-11ef-9cd8-e4fd45859273,img_03.png,"Менеджер по продажам",3,"Ищем менеджера по продажам для работы в сфере IT-услуг. Требуется опыт работы с корпоративными клиентами, развитие клиентской базы.","70,000-90,000 руб."
4,7cc273cc-a180-11ef-9cd8-e4fd45859273,img_04.png,Маркетолог,3,"Вакансия для опытного маркетолога в сфере цифровых технологий. Знание SEO, SMM и маркетинговой аналитики приветствуется.","90,000-140,000 руб."
5,7cc27477-a180-11ef-9cd8-e4fd45859273,img_05.png,"Дизайнер интерьеров",4,"Требуется дизайнер интерьеров для разработки дизайн-проектов жилых и коммерческих помещений.","85,000-120,000 руб."
6,7cc27518-a180-11ef-9cd8-e4fd45859273,img_06.png,"Системный администратор",1,"Ищем системного администратора для поддержки серверной инфраструктуры компании. Знание Linux и Windows обязательно.","110,000-160,000 руб."
7,7cc275b4-a180-11ef-9cd8-e4fd45859273,img_07.png,"Проектный менеджер",5,"Ведущий проектный менеджер для работы в сфере строительства. Контроль реализации проектов на всех этапах.","120,000-180,000 руб."
8,7cc276ad-a180-11ef-9cd8-e4fd45859273,img_08.png,"Учитель английского языка",5,"Вакансия для преподавателя английского языка в частную школу. Подготовка учеников к международным экзаменам.","50,000-80,000 руб."
9,7cc27759-a180-11ef-9cd8-e4fd45859273,img_09.png,Архитектор,4,"Ищем архитектора для работы над проектами жилых и коммерческих зданий. Опыт работы обязателен.","100,000-140,000 руб."
10,7cc277eb-a180-11ef-9cd8-e4fd45859273,img_10.png,Веб-разработчик,1,"Требуется веб-разработчик для создания и поддержки веб-сайтов. Знание HTML, CSS, JavaScript и CMS систем обязательно.","90,000-130,000 руб."
11,7cc27885-a180-11ef-9cd8-e4fd45859273,img_11.png,Контент-менеджер,2,"Вакансия контент-менеджера в крупном интернет-магазине. Поддержка актуальности контента и работа с каталогом товаров.","60,000-90,000 руб."
12,7cc27920-a180-11ef-9cd8-e4fd45859273,img_12.png,HR-менеджер,4,"Ищем HR-менеджера для работы с подбором персонала, адаптацией сотрудников и организацией обучающих мероприятий.","80,000-110,000 руб."
13,7cc279b5-a180-11ef-9cd8-e4fd45859273,img_13.png,Копирайтер,3,"Требуется копирайтер для написания рекламных и информационных текстов для веб-сайтов и соцсетей.","70,000-100,000 руб."
14,7cc27a57-a180-11ef-9cd8-e4fd45859273,img_14.png,Электрик,5,"Ищем электрика для обслуживания и ремонта электрооборудования на промышленных объектах.","60,000-85,000 руб."
15,7cc27aef-a180-11ef-9cd8-e4fd45859273,img_15.png,Повар,2,"Вакансия повара в ресторане высокой кухни. Требуется опыт работы с европейской и азиатской кухнями.","50,000-90,000 руб."
16,7cc27eda-a180-11ef-9cd8-e4fd45859273,img_16.png,Водитель-экспедитор,4,"Ищем водителя-экспедитора для доставки товаров по городу и области. Требуются права категории B и C.","50,000-70,000 руб."
17,7cc27fab-a180-11ef-9cd8-e4fd45859273,img_17.png,Инженер-технолог,5,"Вакансия для инженера-технолога в производственной компании. Разработка и внедрение новых технологических процессов.","110,000-150,000 руб."
18,7cc2808e-a180-11ef-9cd8-e4fd45859273,img_18.png,Логист,1,"Ищем логиста для координации поставок и работы с транспортными компаниями. Опыт в сфере ВЭД приветствуется.","75,000-110,000 руб."
19,7cc2812b-a180-11ef-9cd8-e4fd45859273,img_19.png,Юрист,2,"Требуется юрист для работы с корпоративными договорами и судебной практикой. Опыт работы обязателен.","100,000-130,000 руб."
20,7cc281cb-a180-11ef-9cd8-e4fd45859273,img_20.png,"Специалист службы поддержки",3,"Вакансия специалиста службы поддержки в IT-компании. Обязанности включают работу с клиентами по телефону и e-mail.","55,000-80,000 руб."
21,7cc2826a-a180-11ef-9cd8-e4fd45859273,img_21.png,"Аналитик данных",2,"Требуется аналитик данных для обработки и анализа больших объемов информации, разработка аналитических отчетов и визуализация данных.","90,000-130,000 руб."
22,7cc28324-a180-11ef-9cd8-e4fd45859273,img_22.png,"Менеджер по закупкам",5,"Вакансия для менеджера по закупкам в международной торговой компании. Обязанности: работа с поставщиками, контроль заказов и логистика.","85,000-120,000 руб."
23,7cc25425-a180-11ef-9cd8-e4fd45859273,img_22.png,"Продавец в пятёрочке",5,"Вакансия для менеджера по закупкам в международной торговой компании. Обязанности: работа с поставщиками, контроль заказов и логистика.","85,000-120,000 руб."
